"Nombre","Estilo","Gravedad_Original","Gravedad_Final","Grado_Alcoholico","Amargor","Color"
"Fluffernutter Sammie Stout","Sweet Stout",1.052,1.018,4.49,23.93,35.43
"Biella Murphy clone","Dry Stout",1.043,1.012,4.04,35.55,26.86
"Just Die Already!","Russian Imperial Stout",1.112,1.028,11.03,144.6,40.98
"A Very Stout Cherry","Foreign Extra Stout",17.2108,4.15493,7.14,55.27,40.17
"Dry Irish Stout","Dry Stout",1.038,1.009,3.83,25.99,35.94
"Putin's Heart","Russian Imperial Stout",1.112,1.026,11.22,117.9,40
"Sweet Stout 2 (S2)","Sweet Stout",1.055,1.019,4.79,36.2,40.55
"Peat DRIS","Russian Imperial Stout",1.086,1.022,8.49,82.99,40
"Roosevelt Franklin","Dry Stout",1.07,1.017,6.85,0,24.73
"Pumpkin Stout","Sweet Stout",1.061,1.015,6,21.22,44.91
"Bear's Milk Stout","Sweet Stout",1.066,1.017,6.52,23.85,40
"Chocolate Fountain","Foreign Extra Stout",1.07,1.022,6.33,49.39,40
"Low Gravity Dry Irish Stout","Dry Stout",1.036,1.01,3.4,31.48,30.11
"Sunnysoft Stout","Dry Stout",11.6638,3.35888,4.44,36.79,36.28
"Rusty's 30th Birthday Cake Stout","Russian Imperial Stout",1.097,1.021,9.96,128.77,50
"Meelin Irish Stout","Irish Stout",1.049,1.012,4.92,38.47,31.86
"Lancaster Milk Stout Clone","Sweet Stout",1.059,1.018,5.34,41.97,37.74
"????sweet stout","Sweet Stout",1.061,1.015,6.03,19.82,35.24
"Amon Amarth Stout","Russian Imperial Stout",1.12,1.029,11.88,73.54,34.63
"Scott's Thor's Thunder","Russian Imperial Stout",1.088,1.023,8.46,460.76,50
"Better than Guinness","Dry Stout",1.042,1.01,4.25,37.58,39.43
"Short and Stout","Dry Stout",1.043,1.011,4.19,21.36,33.98
"BAF Imperial Stout","Russian Imperial Stout",19.4903,5.27236,7.87,59.36,42.66
"Always Bet on Black (Wesley Snipes Edition)...","Russian Imperial Stout",1.088,1.02,8.95,101.47,50
"Katy","Russian Imperial Stout",1.078,1.022,7.35,38.73,40
"FBC Russian Imperial Stout","Imperial Stout",1.105,1.024,10.71,76.32,50
"RIS","Russian Imperial Stout",1.103,1.02,10.92,72.27,50
"Irish Mist","Dry Stout",1.048,1.01,4.97,35.1,40
"Sweet Stout Syndicate","Sweet Stout",20.9789,9.19146,6.65,30.71,50
"Ay Chihuahua Mole Stout","Sweet Stout",1.053,1.013,5.31,20.78,46.97
"Sainsbury Chocolate Stout","Irish Stout",1.049,1.014,4.63,37.74,39.1
"Chilehawk Chocolate Stout","Russian Imperial Stout",1.107,1.034,9.59,43.56,50
"Guinness Clone","Irish Stout",1.044,1.011,4.37,42.44,38.88
"Babystep Stout","Russian Imperial Stout",1.103,1.029,9.74,80.6,40
"152 American Dry Summer Stout","Dry Stout",1.039,1.01,3.81,23.91,37.54
"The 2016 Series -  Imperial Stout","Imperial Stout",1.109,1.028,10.66,145.03,50
"Oatmeal Coffee Stout","Imperial Stout",1.097,1.018,10.27,60.82,42.14
"Maple dry stout","Dry Stout",1.056,1.011,6,28.62,32.68
"O'Laddy Stout","Irish Stout",1.052,1.014,4.96,38.47,41.08
"Hefty Stout","Russian Imperial Stout",1.085,1.016,9.04,81.58,40
"Raspy Russian Imperial Stout","Russian Imperial Stout",1.077,1.014,8.32,64.26,32.09
"Emma's Reverence","Sweet Stout",1.052,1.018,4.5,22.17,35.39
"BCBS  maybe","Russian Imperial Stout",1.125,1.033,12.13,54.67,50
"I can't believe it's not Guinness","Dry Stout",1.04,1.011,3.73,50.1,39.81
"Breakfast Stout","Sweet Stout",1.025,1.008,2.22,0,44.57
"Basic Stout","Dry Stout",1.051,1.012,5.16,39.27,38.69
"Stout of the Rising Sun","Sweet Stout",1.057,1.017,5.13,47.22,34.18
"Ma Stouty Poos - Chocolate Stout","Foreign Extra Stout",1.074,1.019,7.33,59.13,39.04
"Stone Imperial Russian Stout clone","Imperial Stout",1.097,1.022,10.85,86.65,50
"Creme Br˚lÈe Stout","Sweet Stout",1.104,1.038,8.65,45.99,31.42
"Sweet Stout","Sweet Stout",1.064,1.018,5.98,28.74,33.66
"Milk Stout 2","Sweet Stout",1.06,1.021,5.12,31.66,40
"RIS Big Barrel G & D","Russian Imperial Stout",1.098,1.021,10.14,151.49,50
"DARK MENACE","Sweet Stout",1.066,1.021,6,27.62,50
"Coffe Stout","Foreign Extra Stout",15.6921,3.59909,6.83,60.29,40
"Valyrian Steel","Russian Imperial Stout",1.087,1.022,8.54,42.49,40
"Coffee Milk Stout","Sweet Stout",1.066,1.019,6.26,48.94,31.5
"The Chocco Monster","Russian Imperial Stout",1.092,1.026,8.77,47.71,50
"Brewjack Horseman","Dry Stout",1.082,1.027,7.31,45.11,46.73
"Neapolitan RIS","Russian Imperial Stout",1.125,1.028,12.69,96.25,50
"Mint Chocolate Chip Stout","Sweet Stout",1.055,1.016,5.09,30.27,50
"Irish Dry Stout","Irish Stout",1.041,1.01,4.1,34.74,37.61
"Barkafjellet Russian Imperial Oatmeal Stout...","Russian Imperial Stout",1.136,1.026,14.43,98.06,48.07
"Bitter chocolate outmeal stout","Russian Imperial Stout",1.106,1.036,9.25,55.87,39.48
"Mida piimad joovad","Sweet Stout",1.06,1.019,5.48,25.43,47.62
"Primordial Corpulent Ale","Dry Stout",1.05,1.011,4.99,0,40.3
"Bremen pÂ Ons¯ybeviset","Dry Stout",1.05,1.012,4.9,38.21,39.17
"” Flannag·in Standard Stout","Dry Stout",1.044,1.012,4.23,20.99,38.97
"Double chocolate stout","Russian Imperial Stout",1.112,1.03,10.68,94.85,50
"Peter's Imperial Stout","Russian Imperial Stout",1.106,1.027,10.43,117.57,40
"Em's stout","Imperial Stout",1.122,1.025,12.72,92.5,50
"Mouth of Madness VI Stout","Dry Stout",1.05,1.028,5.5,0,37.76
"lm ris mie?ka","Russian Imperial Stout",25.6983,6.62932,10.85,89.18,43.44
"BA fes","Foreign Extra Stout",17.8006,3.39978,7.87,61.56,32.16
"!Quadruple Vanilla Chocolate Stout!","Imperial Stout",1.083,1.025,8.18,76.08,50
"(2015-12-31) KBS Clone","Imperial Stout",23.0191,6.86717,9.11,85.54,50
"Nivid Hasstie Barrel Aged Rye Stout","Imperial Stout",1.115,1.028,11.39,56.21,50
"Russian Imperiel","Russian Imperial Stout",1.117,1.033,11.06,128.46,40
"Awesome Recipe","Irish Extra Stout",1.052,1.013,5.14,23.84,24.44
"Courage Russian Imperial Stout","Russian Imperial Stout",1.106,1.027,10.33,46.41,50
"Knob Creek Candidate","Russian Imperial Stout",1.115,1.036,10.42,100.25,50
"Milk Stout (GFunk)","Sweet Stout",1.061,1.02,5.38,22.29,40.41
"Chocolate Milk Stout","Sweet Stout",1.072,1.026,6.07,15.98,40
"T¯rr (du dette?)","Dry Stout",1.048,1.014,4.5,42.1,40
"Coconut imperial porter","Imperial Stout",1.113,1.03,10.83,63.01,50
"Derrick 'Laidies Man' Johnson","Russian Imperial Stout",1.109,1.03,10.4,26.21,50
"Baltic Imperial Stout (Lager)","Russian Imperial Stout",1.085,1.014,9.38,42.17,50
"Kormilitza","Russian Imperial Stout",1.123,1.031,12.11,116.32,50
"Rye stout","Tropical Stout",1.077,1.019,7.55,128.98,46.16
"Lacquer","Russian Imperial Stout",1.119,1.029,11.81,83.47,50
"Firestone walker parabola","Imperial Stout",1.124,1.018,13.94,88.72,50
"Peg Leg Chocolate Oatmeal Stout 6.0","Foreign Extra Stout",1.086,1.027,7.73,62.97,42.29
"Russian Imperial Stout","Russian Imperial Stout",1.1,1.025,9.85,113.82,50
"Coopers Irish Extra Stout","Foreign Extra Stout",1.054,1.015,5.03,0,18.17
"Imperinis","Russian Imperial Stout",1.093,1.018,9.91,45.27,50
"Black Soldier Fly Stout","Russian Imperial Stout",1.116,1.04,10.09,50.03,40
"#47 Four Grains Foreign Extra Stout","Foreign Extra Stout",1.057,1.014,5.59,45.35,24.02
"#42 Havana FES","Foreign Extra Stout",17.3111,4.52483,7,63.18,35.62
"Left Hand Milk Stout Clone","Sweet Stout",1.061,1.017,5.71,21.18,42.95
"Triple B Stout.","Foreign Extra Stout",1.065,1.016,6.44,31.25,40
"REDUXII Stout","Russian Imperial Stout",1.081,1.02,7.99,64.26,38.69
"Kate the great","Russian Imperial Stout",1.102,1.022,10.45,30.32,50
"#66 Tropical Stout","Tropical Stout",17.1404,5.36021,6.46,39.04,39.48
"Dark Lord clone","Russian Imperial Stout",1.17,1.057,14.85,0,50
"ClutchAlike","Russian Imperial Stout",1.052,1.012,5.22,29.42,40
"#5 - Lochness","Foreign Extra Stout",1.061,1.017,5.75,35.44,40
"French Blueberry Imperial Stout","Imperial Stout",1.084,1.014,9.21,77.77,37.72
"Graham Slam","Russian Imperial Stout",1.108,1.025,10.88,63.78,40
"Tropical smoked stout","Tropical Stout",1.062,1.014,6.22,45.94,38.62
"Alfred's Irish Stout (Stout IV)","Dry Stout",1.045,1.009,4.63,41.09,38.25
"Imperial CHOCOLATE COFFEE STOUT","Imperial Stout",1.088,1.017,10.17,51.39,45.42
"One and a Half Stone Imperial Stout","Imperial Stout",1.1,1.024,9.97,88.87,50
"Partial - BP Russian WIP","Russian Imperial Stout",1.1,1.034,8.64,192.68,40.04
"The Dark Knight","Russian Imperial Stout",1.088,1.026,8.24,66.57,36.51
"Stout Sextet #1","Dry Stout",1.042,1.01,4.11,44.94,22.97
"Jeeringly Ransomed Havoc 1.0","Russian Imperial Stout",1.081,1.02,8,0,32.1
"Another Stout Recipe","Irish Stout",1.028,1.005,2.96,41.55,50
"Stoutopia","Russian Imperial Stout",1.097,1.017,10.49,72.45,47.98
"Albino stout","Sweet Stout",1.065,1.025,5.27,35.89,4.16
"Christmas in Miami","Russian Imperial Stout",1.14,1.033,14.02,47.52,37.15
"Russian Imperial Stout O.G","Russian Imperial Stout",20.6333,5.44276,9.14,78.52,39.02
"Kate the great clone","Russian Imperial Stout",1.101,1.023,10.24,62.05,36.98
"Bourbon Barrel Porter","Foreign Extra Stout",1.066,1.017,6.41,60.37,45.47
"Mleczny","Sweet Stout",1.069,1.025,5.83,29.94,35.95
"Foreign Extra Stout","Foreign Extra Stout",1.071,1.013,7.53,39.59,31.35
"Raspberry","Sweet Stout",1.1,1.028,9.44,21.89,40
"Imperial Stout","Russian Imperial Stout",1.087,1.021,8.74,51.95,50
"#72 Imperial Rye Stout (brewed 02.12.15)","Imperial Stout",1.121,1.029,12.07,88.87,50
"Stevens Park Stout","Dry Stout",1.072,1.018,7.07,0,28.84
"Russian Imperial Stout","Russian Imperial Stout",1.09,1.023,8.77,75.4,50
"Imperial Llama Stout","Russian Imperial Stout",1.099,1.025,9.69,0,40.34
"Black Hole Stout","Russian Imperial Stout",1.065,1.018,6.23,89.52,50
"Double chocolate milk stout clone","Sweet Stout",1.058,1.023,4.59,34.19,42.74
"Gropecuntelane","Foreign Extra Stout",1.057,1.013,5.86,47.95,47.37
"Cerveza De Malto Seca","Dry Stout",1.044,1.011,4.29,38.44,34.37
"Chocolate Mint Milk Stout","Sweet Stout",1.056,1.017,5.15,29.18,27.65
"Chocolate Vanilla Stout","Foreign Extra Stout",1.066,1.015,6.63,30.69,50
"Untitled Coffee Stout","Sweet Stout",1.059,1.017,5.49,34.25,40
"Russian Imperial Chocolate Stout","Russian Imperial Stout",1.097,1.025,10.4,75.85,48.99
"Malted Milk Biscuit Stout","Sweet Stout",1.069,1.024,5.97,27.4,35.56
"R.I.S","Russian Imperial Stout",1.093,1.022,9.37,57.86,50
"Chocolate Milk Stout","Sweet Stout",1.056,1.014,5.52,0,30.84
"Donny Darkness braggot","Russian Imperial Stout",1.1,1.023,10.06,77.46,50
"KBS Extract Clone","Imperial Stout",1.091,1.025,8.61,69.77,50
"40. MRS Sweet Stout","Sweet Stout",1.059,1.022,4.96,23.27,39.12
"Tiramisu Stout","Imperial Stout",1.096,1.026,9.25,33.46,42.96
"Robs Extreme Danger Stout","Russian Imperial Stout",1.091,1.01,10.69,92.41,40
"PWBG Imperial Stout","Imperial Stout",1.118,1.023,12.44,110.14,47
"Chocolate Coffee Stout","Sweet Stout",1.05,1.01,5.23,24.39,27.95
"Czokoloko","Sweet Stout",16.1875,6.55628,5.29,27.22,6.81
"An Udder Sweet Stout","Sweet Stout",1.09,1.029,7.96,60.6,38.77
"Gj¯kebryggeriets Rugporter","Foreign Extra Stout",1.075,1.021,7.04,43.84,35.29
"Stout Santa","Foreign Extra Stout",1.067,1.019,6.37,30.88,34.68
"Coconut Milk Stout","Sweet Stout",1.059,1.021,4.94,31.59,37.88
"2015 - 11/15  - Sherlock's Stout XLK","Foreign Extra Stout",18.0502,3.88719,7.76,30.72,37.31
"Irish Snake Tears","Dry Stout",1.052,1.013,5.13,0,30.55
"Raven & Dove Milk Stout 5G","Sweet Stout",1.061,1.019,5.47,33.1,40
"Alexander the Blessed Barrel aged stout","Russian Imperial Stout",1.142,1.031,14.59,106.77,50
"Black Coffee Stout","Imperial Stout",1.107,1.028,10.33,74.73,50
"SchuBrew Vanilla Milk Stout","Foreign Extra Stout",1.092,1.032,7.91,49.28,46.06
"Cinnamon Vanilla Mist","Foreign Extra Stout",1.06,1.013,6.22,47.22,40
"KGB Black Widow dry stout","Dry Stout",1.053,1.011,5.44,38.46,34.37
"Christmas stout","Foreign Extra Stout",1.076,1.02,7.29,47.49,40
"Black Wizard/Black Two","Russian Imperial Stout",1.1,1.027,10.64,112.44,50
"Milk O'Stout","Sweet Stout",1.059,1.021,5.05,22.62,50
"Milk Stout Take 2","Sweet Stout",1.056,1.016,5.22,34.89,40
"MIRC Stout","Russian Imperial Stout",1.106,1.027,10.37,90.32,40.79
"Chocolate Stoute Joost","Sweet Stout",1.044,1.013,4.05,36.21,48.95
"Imperial Stout","Russian Imperial Stout",1.074,1.019,7.29,81.89,35.35
"Samsquantch Stout","Imperial Stout",23.8066,4.5224,10.82,100.76,38.74
"KBS Clone","Russian Imperial Stout",1.108,1.027,10.59,50.96,47.45
"Dnez #7 - Belgian Choc Cafe Stout","Russian Imperial Stout",1.091,1.019,9.46,147.2,43.67
"Funk Stoutseason","Dry Stout",1.056,1.013,5.58,32.44,36.54
"Sticky Vanilla Sky","Russian Imperial Stout",1.123,1.033,11.78,48.03,40
"Josh's magic coffee stout","Russian Imperial Stout",1.105,1.013,12.1,35.53,50
"Whisky ris","Imperial Stout",27.784,6.84955,12.02,84.93,50
"Intergalactic stout","Imperial Stout",1.15,1.023,16.76,75.01,50
"Imperial Stout 120L","Russian Imperial Stout",1.077,1.019,7.58,48.32,47.51
"Midnight - Rye Imperial Stout","Russian Imperial Stout",1.083,1.023,8.49,85.42,38.4
"Milk Stout 1","Sweet Stout",1.073,1.027,6.03,35.25,40
"TSUNAMI STOUT CLONE","Imperial Stout",1.071,1.014,7.57,79.36,47.17
"Hunahpu Clone","Imperial Stout",1.135,1.035,13.03,106.3,50
"Sort Som Sot","Sweet Stout",1.049,1.012,4.78,37.7,38.48
"Oatmeal Creme Stout","Sweet Stout",1.059,1.02,5.01,29.85,34.96
"Imp Stout","Russian Imperial Stout",1.106,1.024,10.66,56.84,40
"DamiAnne","Russian Imperial Stout",24.3495,6.48993,10.11,96.42,27.5
"**RIS","Russian Imperial Stout",1.101,1.034,8.84,111.32,39.56
"R¯kejakken","Foreign Extra Stout",1.075,1.015,7.86,55.83,47.6
"Imp Stout BGB Zs 10L","Imperial Stout",1.069,1.012,7.5,63.93,41.46
"Stalingrad","Russian Imperial Stout",1.097,1.02,10.13,76.86,31.25
"Chocoholic","Sweet Stout",1.084,1.029,7.15,29.52,40
"Smooth Operator","Sweet Stout",1.066,1.024,5.6,52.46,36.61
"Guineas Extra Stout Clone","Dry Stout",1.045,1.008,4.89,52.16,35.91
"Imperiaalin Vatsaisku","Imperial Stout",1.098,1.029,10.11,69,50
"Whiskey Barrel Stout","Sweet Stout",1.058,1.015,5.59,1.96,37.43
"Sweet Stout","Sweet Stout",1.061,1.023,4.88,20.05,39.64
"Guinea Pig Stout","Foreign Extra Stout",1.067,1.019,6.31,34.29,35.96
"Stone Fruit Stout","Sweet Stout",1.073,1.02,6.91,21.53,44.33
"Black Sheep Riggwelter Clone","Sweet Stout",1.06,1.017,5.59,23.85,22.77
"Zygmunt Imperial Stout","Russian Imperial Stout",1.106,1.03,9.97,56.61,40
"Black Friday","Foreign Extra Stout",1.066,1.015,6.71,59.68,34.2
"AHS Sweet Stout","Sweet Stout",1.059,1.023,4.8,21.11,37.99
"Founders Breakfast Stout","Sweet Stout",1.088,1.023,8.53,53.99,50
"Sweet Coffee Stout","Tropical Stout",1.063,1.015,6.32,38.06,39.96
"Milk Stout with Coffee","Foreign Extra Stout",1.073,1.026,6.12,55.98,35.95
"Quad Choco Milk Stout","Sweet Stout",1.066,1.021,5.87,36.51,42.87
"11/29/15 imperial Stout","Imperial Stout",1.095,1.021,9.62,107.14,50
"Irish Stout","Irish Extra Stout",1.06,1.017,5.66,28.92,35.41
"Tempe Closet Oatmeal Milk Stout","Sweet Stout",17.1116,7.25475,5.44,51.14,33.19
"Konrat","Imperial Stout",1.101,1.024,10.02,76.73,50
"Dnez 17 - Imperial Espresso Stout","Russian Imperial Stout",1.102,1.019,10.79,119.89,42.85
"Dennis Chocolate Stout","Dry Stout",1.049,1.01,5.17,20.12,50
"Le mort v2","Imperial Stout",1.101,1.025,9.99,99.42,50
"Imperial Bourbon Barrel Oak Aged Smoked Whea...","Imperial Stout",1.092,1.025,8.78,36.95,40.59
"Wheat Chocolate Milk Stout","Sweet Stout",1.055,1.019,4.75,34.87,37.26
"Left Hand Milk Stout","Sweet Stout",1.072,1.017,7.31,24.06,50
"Chocolate Peanut Butter Stout","Sweet Stout",1.061,1.024,4.85,32.31,38.44
"Coffee Caramel Stout","Sweet Stout",1.051,1.008,5.56,37.63,35.79
"Whale Juice","Imperial Stout",1.113,1.029,11.11,100,50
"Jihadist¯l","Russian Imperial Stout",1.093,1.023,9.14,76.33,49.41
"Choc Raspberry Milk Stout (209)","Sweet Stout",1.058,1.019,5.1,19.23,44.4
"Mega Black House","Imperial Stout",1.098,1.023,9.8,84.92,50
"Old Rasputin Clone (13F)","Russian Imperial Stout",1.079,1.022,7.47,85.13,34.13
"The Worlds End","Imperial Stout",1.172,1.051,15.92,125.42,50
"St Patrick's Stout 2018","Dry Stout",1.046,1.011,4.48,48.08,35.08
"Potbelly","Russian Imperial Stout",1.089,1.023,8.63,74.58,50
"Secret Squirrel","Russian Imperial Stout",1.11,1.025,11.18,37.35,50
"PopStout","Russian Imperial Stout",1.084,1.015,9.67,50.44,39.03
"Dark Lord Clone","Russian Imperial Stout",1.107,1.027,10.56,242.95,43.69
"Porter","Imperial Stout",1.072,1.01,8.13,52.96,49.66
"Dark Duck Clone","Sweet Stout",1.063,1.024,5.18,28.25,50
"Black Magic Stout","Sweet Stout",1.044,1.012,4.26,43.32,39.71
"Vanilla Bourbon Chocolate Imperial Stout","Imperial Stout",1.115,1.028,11.49,85.18,40.3
"Whisky Stout #3","Foreign Extra Stout",16.0558,4.18236,6.46,39.25,50
"Chocolate Milk Stout","Sweet Stout",1.049,1.012,4.86,30.84,40
"KATE THE GREAT","Imperial Stout",1.119,1.025,12.31,95.01,50
"Milk stout","Sweet Stout",1.07,1.026,5.77,24.71,26.01
"Heart's Homebrew Dry Stout","Dry Stout",1.057,1.016,5.32,23.26,46.43
"Irish Stout v2","Foreign Extra Stout",1.066,1.015,6.65,43.79,50
"Starless And Bible Black","Russian Imperial Stout",1.084,1.016,9.65,44.71,42.15
"Winter White Stout","Russian Imperial Stout",1.081,1.01,9.29,59.96,9.24
"Den s¯te svarte julenatta","Sweet Stout",1.058,1.019,5.15,29.44,38.98
"Mud City Stout Clone","Foreign Extra Stout",1.065,1.018,6.35,40.13,43.33
"Chocolate Coffee Imperial Stout","Russian Imperial Stout",1.09,1.028,8.15,120.18,32.35
"Classic Styles","Dry Stout",1.046,1.013,4.3,40.71,37.36
"13 Stout","Imperial Stout",1.083,1.018,8.56,72.43,50
"Boogeyman","Russian Imperial Stout",1.106,1.027,10.46,83.78,40
"Milk Stout","Sweet Stout",1.088,1.028,7.83,22.37,50
"X","Sweet Stout",15.7756,5.96708,5.37,37.41,44.47
"TakiSobie Stout","Foreign Extra Stout",16.8178,4.90845,6.52,24.57,40
"Dry Stout","Dry Stout",1.043,1.011,4.17,33.61,34.34
"Totonac Bumbo (Extract)","Sweet Stout",1.064,1.023,5.38,37.77,35.12
"Imperial Stout (coffee)","Imperial Stout",1.054,1.011,5.65,82.46,50
"Black Mirror","Foreign Extra Stout",1.07,1.021,6.85,42.24,35.82
"Imperial Coffee Stout","Imperial Stout",1.091,1.029,8.91,91.44,35.76
"Milk stout","Sweet Stout",1.053,1.02,4.25,32.42,40
"Russian Federal Stout","Foreign Extra Stout",1.084,1.025,7.76,75.15,50
"FES","Foreign Extra Stout",1.037,1.01,3.5,57.05,40
"King Tuff","Russian Imperial Stout",1.094,1.025,9.01,78.24,40
"Chocolate Milk Stout","Sweet Stout",1.048,1.02,3.65,29.35,26.58
"Kona Karlsbad","Russian Imperial Stout",17.3902,3.85229,7.4,80.87,50
"Imperial Coffee Stout","Russian Imperial Stout",1.074,1.019,7.32,92.23,40
"Chocolate Stout (with cocoa)","Dry Stout",1.049,1.015,4.52,25.68,35.65
"Troll Brew - Dovregubben","Dry Stout",1.068,1.017,6.71,46.95,37.15
"Bourbon Vanilla Stout","Russian Imperial Stout",1.081,1.019,8.16,113.75,36.11
"Spiced Stout","Sweet Stout",1.06,1.017,5.58,30.34,37.51
"Black Vinyl Stout","Dry Stout",1.043,1.011,4.26,27.7,31.58
"Chocolate cherry stout","Imperial Stout",1.056,1.014,5.52,44.69,41.48
"BCBS","Imperial Stout",1.121,1.023,14.75,90.69,50
"Haddland smÂbryggarlag Christmas ale  no 28...","Foreign Extra Stout",1.058,1.01,6.39,102.04,26.56
"Black Benny","Russian Imperial Stout",1.091,1.016,9.95,78.66,50
"Russian imperial Stout","Russian Imperial Stout",1.087,1.021,8.68,118.96,50
"Extra stout","Foreign Extra Stout",1.066,1.018,6.28,40.16,50
"Darth Felton Imperial Porter","Russian Imperial Stout",1.083,1.021,8.12,0,34.54
"Punkis RIS","Russian Imperial Stout",1.076,1.023,6.97,76.71,37.18
"Dry Irish Stout","Dry Stout",1.041,1.008,4.38,28.53,30.43
"English Stout","Foreign Extra Stout",1.081,1.02,7.98,67.59,39.45
"#5","Dry Stout",12.1035,2.82753,4.96,36.11,33.83
"Fallout Stout","Dry Stout",1.045,1.013,4.15,43.34,39.83
"Guiness Clone","Dry Stout",1.046,1.012,4.41,27.96,33.87
"Founder's Breakfast Stout (modified clone)...","Russian Imperial Stout",1.088,1.025,8.29,60.18,50
"Irish Extra Stout","Irish Extra Stout",1.057,1.013,5.83,41.74,38.85
"Stout-?ern˝ jak boty","Dry Stout",13.6101,3.52178,5.43,68.23,21.02
"Czar's Revenge Russian Imperial Stout","Russian Imperial Stout",1.091,1.023,8.95,93.66,50
"Mexican Imperial Stout","Imperial Stout",28.3111,5.13223,13.25,70.15,50
"Imperial Russian Stout","Imperial Stout",1.097,1.024,9.5,121.53,50
"Mandarin Extra","Foreign Extra Stout",1.073,1.017,7.45,24.18,32.12
"Chcolate Coffee Haze","Sweet Stout",1.051,1.015,4.7,23.08,50
"SLED DOG RUSSIAN IMPERIAL STOUT","Imperial Stout",1.103,1.029,9.74,83.6,50
"Mexican Stout","Russian Imperial Stout",1.089,1.015,9.75,52.52,43.19
"Fuzzy Knuckles","Imperial Stout",1.1,1.026,9.73,53.95,42.12
"Greg Hughes RIS with Coffee","Imperial Stout",1.1,1.021,10.42,92.07,50
"Imperial Stout 2.01","Imperial Stout",1.1,1.024,9.99,39.46,43.93
"FBB Dry Irish Stout","Dry Stout",1.045,1.013,4.25,45.01,38.75
"Beet stout","Sweet Stout",1.071,1.016,7.22,74.9,21.31
"12. Breakfast of champions 160716","Sweet Stout",1.061,1.014,6.1,23.68,50
"Pumpkin Spice Latte Stout","Sweet Stout",1.067,1.022,5.92,35.68,35.56
"KBS","Imperial Stout",1.092,1.018,9.81,62.42,50
"Lokentaz Zombie Stout","Sweet Stout",1.068,1.023,5.85,31.96,47.46
"Stout","Dry Stout",1.049,1.014,4.57,34.63,27.78
"The great new start","Imperial Stout",1.09,1.021,8.99,47.72,43.79
"Coca Latte","Sweet Stout",1.059,1.022,4.91,20.98,36.1
"Chocolate Milk Stout","Sweet Stout",1.056,1.019,4.9,28.82,27.65
"American Oatmilk Stout","Sweet Stout",1.068,1.014,7.01,36,47.3
"Big Stout","Imperial Stout",1.08,1.026,7.08,70.54,50
"Hawaiian Cow 2","Foreign Extra Stout",1.076,1.019,7.5,49.75,39.28
"Grandma's foreign extra stout","Foreign Extra Stout",1.074,1.018,7.4,37.5,41.78
"Zarco sweet Stout 7 ago","Sweet Stout",1.061,1.015,5.99,0,28.59
"Mole'volence (Grainfather)","Imperial Stout",1.11,1.033,10.12,67.12,50
"LOF 2015 Kropotkin Russian Imperial Stout...","Russian Imperial Stout",1.096,1.024,9.45,127.44,40
"Cafe Con Leche","Sweet Stout",1.073,1.024,6.38,24.9,50
"Mad at Dachsund Milk Stout","Sweet Stout",1.096,1.028,8.89,35.93,50
"Foreign extra stout","Foreign Extra Stout",1.069,1.022,6.26,64.01,50
"Mula mulata","Russian Imperial Stout",1.052,1.01,5.52,185.59,50
"Ursus","Imperial Stout",1.106,1.021,11.23,75.67,50
"Breakfast Stout","Russian Imperial Stout",1.077,1.015,8.23,70.35,50
"Dry Irish stout","Irish Stout",1.057,1.015,5.56,36.01,39.78
"Beata Dry Stout Lote LBDS02","Dry Stout",1.054,1.013,5.29,43.62,43.85
"AHS Limited Edition Imperial Stout","Russian Imperial Stout",1.092,1.031,8,81.95,40
"Jon & Jen's Wedding Stout","Russian Imperial Stout",1.061,1.014,6.15,62.69,30.64
"RIS Group","Russian Imperial Stout",1.109,1.032,10.13,281.24,50
"Lila","Russian Imperial Stout",1.111,1.023,11.63,68.43,50
"#15","Imperial Stout",1.103,1.024,10.27,97.06,50
"Gargler","Russian Imperial Stout",1.097,1.022,9.81,69.14,41.89
"Belgian Stout","Foreign Extra Stout",1.068,1.012,7.28,64.4,50
"Putin It In Your Mouth","Russian Imperial Stout",1.106,1.031,9.79,74.68,31.42
"RIS- RIS Never Sleeps","Russian Imperial Stout",1.093,1.026,8.84,84.66,40
"R & C Irish Stout","Dry Stout",1.048,1.011,4.85,31.48,33.74
"Double Chocolate Milk Stout","Sweet Stout",1.093,1.035,7.67,19.97,36.32
"Oatis","Foreign Extra Stout",1.083,1.025,7.69,62.91,43.86
"In Russia Stout Drink You","Russian Imperial Stout",1.1,1.025,9.82,78.17,50
"Smore stout","Imperial Stout",1.121,1.036,11.21,48.76,50
"Weak and Weary Stout","Imperial Stout",1.089,1.022,8.73,67.66,39.5
"Founder's Breakfast Stout","Russian Imperial Stout",1.081,1.02,7.97,66.38,50
"Coffee Chicory Cream Stout","Dry Stout",1.067,1.016,6.73,36.96,35.49
"Imperial Stout - 20L","Russian Imperial Stout",1.102,1.026,9.92,84.36,38.18
"99% Dark Chocolate Stout","Dry Stout",1.068,1.014,7.08,48.95,33.87
"Student's Stout","Irish Stout",1.042,1.01,4.11,42.63,30.07
"IgelStuten","Irish Stout",1.047,1.009,4.96,36.75,33.29
"Coquito Imperial Stout","Russian Imperial Stout",1.097,1.03,8.7,48.06,44.99
"Fist attempt","Russian Imperial Stout",1.084,1.028,7.36,26.98,40
"Nuke!","Russian Imperial Stout",1.131,1.034,12.69,92.3,50
"Dry Stout","Dry Stout",1.052,1.012,5.26,37.32,34.38
